assumed_floor_fraction,below_minimum_effect_fraction,contrast_sd,correct_decisive_fraction,correlation,decision_method,effect_present_fraction,error_model,indeterminate_fraction,threshold_or_confidence,true_delta,truth_state,wrong_decisive_fraction
1.0,0.0,,0.0,,deterministic_interval,0.0,independent_bounded,1.0,,3.0,boundary,0.0
0.9,9.5e-05,,0.0,,deterministic_interval,6.5e-05,independent_bounded,0.99984,,3.0,boundary,0.00016
0.75,0.00274,,0.0,,deterministic_interval,0.00251,independent_bounded,0.99475,,3.0,boundary,0.00525
0.5,0.042225,,0.0,,deterministic_interval,0.041395,independent_bounded,0.91638,,3.0,boundary,0.08362
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,1.5,3.1,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,1.75,3.1,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,2.0,3.1,effect_present,0.0
1.0,0.0,,0.99962,,legacy_ratio,0.99962,independent_bounded,0.00038,2.25,3.1,effect_present,0.0
1.0,0.0,,0.98263,,legacy_ratio,0.98263,independent_bounded,0.01737,2.5,3.1,effect_present,0.0
1.0,0.0,,0.882055,,legacy_ratio,0.882055,independent_bounded,0.117945,2.75,3.1,effect_present,0.0
1.0,0.0,,0.631175,,legacy_ratio,0.631175,independent_bounded,0.368825,3.0,3.1,effect_present,0.0
1.0,0.0,,0.309145,,legacy_ratio,0.309145,independent_bounded,0.690855,3.25,3.1,effect_present,0.0
1.0,0.0,,0.086625,,legacy_ratio,0.086625,independent_bounded,0.913375,3.5,3.1,effect_present,0.0
1.0,0.0,,0.009955,,legacy_ratio,0.009955,independent_bounded,0.990045,3.75,3.1,effect_present,0.0
1.0,0.0,,6.5e-05,,legacy_ratio,6.5e-05,independent_bounded,0.999935,4.0,3.1,effect_present,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.25,3.1,effect_present,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.5,3.1,effect_present,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,4.75,3.1,effect_present,0.0
1.0,0.0,,0.0,,legacy_ratio,0.0,independent_bounded,1.0,5.0,3.1,effect_present,0.0
1.0,0.0,,6.5e-05,,deterministic_interval,6.5e-05,independent_bounded,0.999935,,3.1,effect_present,0.0
0.9,0.0,,0.00102,,deterministic_interval,0.00102,independent_bounded,0.99898,,3.1,effect_present,0.0
0.75,0.00038,,0.009955,,deterministic_interval,0.009955,independent_bounded,0.989665,,3.1,effect_present,0.00038
0.5,0.01737,,0.086625,,deterministic_interval,0.086625,independent_bounded,0.896005,,3.1,effect_present,0.01737
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,1.5,3.5,effect_present,0.0
1.0,0.0,,1.0,,legacy_ratio,1.0,independent_bounded,0.0,1.75,3.5,effect_present,0.0
