kind,left,right,baseline_state,minimum_cost,witness_mask
open_interval,0.09940376638485154,0.09940389000543119,above,0.14285714285714285,1
point,0.09940389000543119,0.09940389000543119,above,0.14285714285714285,1
open_interval,0.09940389000543119,0.09940406143324101,above,0.14285714285714285,1
point,0.09940406143324101,0.09940406143324101,indeterminate,0.0,0
open_interval,0.09940406143324101,0.09991315622320152,indeterminate,0.0,0
point,0.09991315622320152,0.09991315622320152,indeterminate,0.0,0
point,0.09991315622320153,0.09991315622320153,below,0.14285714285714285,2
open_interval,0.09991315622320153,0.09991364405681215,below,0.2857142857142857,96
point,0.09991364405681215,0.09991364405681215,below,0.2857142857142857,96
point,0.09991364405681216,0.09991364405681216,below,0.42857142857142855,97
