n,residual,elapsed_s,l2_error,minimum_conductivity,maximum_conductivity,pathway,sample,level
24,1.525063926661977e-14,0.0013120000003254972,,0.8327607658985643,1.0490595250788628,2,9,3
32,2.7170437256254595e-14,0.0019098999982816167,,0.8325872975678041,1.05321068676078,2,9,4
40,4.499064196367047e-14,0.0024937000016507227,,0.8326427643701277,1.0556034461325647,2,9,5
48,6.19292713203288e-14,0.003563499998563202,,0.8325400929100171,1.0571557017398658,2,9,6
64,1.1181594150399904e-13,0.005794400000013411,,0.8326005861562847,1.0590459943191024,2,9,7
8,1.7633530262579845e-15,0.000481999999465188,,0.9034949372050337,1.515326728961106,2,10,0
12,4.444668335208021e-15,0.0005551000031118747,,0.8926957172421686,1.5280686603569966,2,10,1
16,8.0651083536271e-15,0.0006768999992345925,,0.8816847448286917,1.5325184423158562,2,10,2
24,1.810917547864328e-14,0.001244600000063656,,0.8709847950115932,1.5356929179420125,2,10,3
32,3.138589426901346e-14,0.001813300001231255,,0.8658391593784116,1.5368031394827872,2,10,4
40,5.353208522140234e-14,0.0026626999970176257,,0.862866235013642,1.5373168583817098,2,10,5
48,7.537407045911466e-14,0.0034778000008373056,,0.8608282587161018,1.537595873715903,2,10,6
64,1.3638301289453286e-13,0.006055400001059752,,0.858376239566984,1.5378732742458938,2,10,7
8,1.904293436497308e-15,0.0005284999970172066,,0.895945846063103,1.191586717490048,2,11,0
12,3.967828641076211e-15,0.0005387999990489334,,0.8879350408291747,1.2034309379912567,2,11,1
16,6.126225997669583e-15,0.0006657000012637582,,0.8846659454853044,1.2076909980015293,2,11,2
24,1.625349460906909e-14,0.0011679999988700729,,0.8800025418690137,1.2107710392363706,2,11,3
32,3.003616466760881e-14,0.001875800000561867,,0.8779528191348691,1.2118564319654066,2,11,4
40,4.565727641837794e-14,0.0025320999993709847,,0.8768170218941419,1.2123601153885843,2,11,5
48,6.772790199310488e-14,0.0035587999991548713,,0.876099837702674,1.2126340671271685,2,11,6
64,1.216806012942519e-13,0.006110199999966426,,0.8752490494054687,1.2129067040517236,2,11,7
8,1.9188017809781915e-15,0.0004925999965053052,,1.0087040080483878,2.085644401909177,2,12,0
12,4.426721857228533e-15,0.0005104000010760501,,0.9973905906735174,2.121525794171734,2,12,1
16,7.204620493225633e-15,0.0006647999980486929,,0.9862589343838045,2.13434668189327,2,12,2
24,2.2127407232138174e-14,0.0013165999989723787,,0.9641071524190998,2.143589249194706,2,12,3
32,3.7709514841980177e-14,0.0018524000006436836,,0.9531151915294465,2.1468409687492396,2,12,4
40,5.798098856643344e-14,0.002525500000047032,,0.9465699407608478,2.148349015605043,2,12,5
48,8.230933354852922e-14,0.003552299996954389,,0.9422543110349587,2.1491689893603714,2,12,6
64,1.4353907991013393e-13,0.006121700000221608,,0.93691436594465,2.149984854589792,2,12,7
8,2.07007104377159e-15,0.0006266999989748001,,0.9169788675311106,2.2067686123080805,2,13,0
12,5.057712754992173e-15,0.0005898999988858122,,0.8727940304825123,2.252748209588174,2,13,1
16,9.077887342956076e-15,0.000669599998218473,,0.8528313107536879,2.2692053981472875,2,13,2
24,1.9972106623363174e-14,0.0012929000004078262,,0.8334425075898336,2.281078280837824,2,13,3
32,3.961440722185773e-14,0.0018746999994618818,,0.8244179446883911,2.2852571504371753,2,13,4
40,5.937005366967233e-14,0.0025074000004678965,,0.8190931011019984,2.2871954882557644,2,13,5
48,8.708579356702586e-14,0.0035543999983929098,,0.815597697372978,2.288249506639476,2,13,6
64,1.5526441756695816e-13,0.006175499998789746,,0.8113125583324376,2.289298300723606,2,13,7
8,1.540059325647191e-15,0.0004902000000583939,,0.8382739562946103,1.0933928014250398,2,14,0
12,3.035850449925669e-15,0.000531300000147894,,0.8324629089479707,1.0958694815948573,2,14,1
16,5.936486320089762e-15,0.0006673000025330111,,0.8337593190959335,1.097588262816842,2,14,2
24,1.5769309788290966e-14,0.0012056000014126766,,0.8332801533329677,1.0977299657609634,2,14,3
32,2.4556711458856417e-14,0.0019094999988737982,,0.8326239210845282,1.0975889096671316,2,14,4
40,3.9581104254885714e-14,0.002500899998267414,,0.8324474786233158,1.0974436443056441,2,14,5
48,5.735968764678035e-14,0.0035914000000047963,,0.8324482060862471,1.097588262816842,2,14,6
64,1.048016453818893e-13,0.0060211000018171035,,0.8323678156147147,1.0977486816229105,2,14,7
8,1.5275025785985227e-15,0.0005018999981984962,,0.8197777464701835,1.0743115928420317,2,15,0
12,3.598687555799294e-15,0.0005304999976942781,,0.8200800433233357,1.0731498633991903,2,15,1
16,5.556282194285898e-15,0.0006771000007574912,,0.8199880155316812,1.0756597728769748,2,15,2
24,1.2686531532335388e-14,0.0011802999979408924,,0.8197777464701835,1.078784858050114,2,15,3
32,2.4989242188698018e-14,0.0017883000000438187,,0.8196928960098746,1.0826669784318719,2,15,4
40,3.871498291964021e-14,0.002521100002923049,,0.8195747135746166,1.0850063678913004,2,15,5
48,5.5400106380475663e-14,0.0035330999999132473,,0.8193953027682405,1.0866027230721245,2,15,6
64,9.561477394474951e-14,0.006212000000232365,,0.8193749408085897,1.0885545537829326,2,15,7
8,1.583163045812259e-15,0.0005128000011609402,,0.891637352542673,1.3307911926967981,2,16,0
12,4.499800025851192e-15,0.0005271999980323017,,0.8815868501436263,1.3377196713403583,2,16,1
16,7.247637314149692e-15,0.000666200001433026,,0.8770265313379074,1.3406557359607034,2,16,2
24,1.648597081617964e-14,0.0011864999978570268,,0.8734914732860743,1.3423343426062708,2,16,3
32,3.114581737214886e-14,0.001859099997091107,,0.8719438578517131,1.3428112816203908,2,16,4
40,4.470024974530223e-14,0.0024849000001267996,,0.8710813253591568,1.3430121800277193,2,16,5
48,7.040419582680407e-14,0.0036637999983213376,,0.8705327826457945,1.3431159963887829,2,16,6
64,1.2418535823359114e-13,0.006120599999121623,,0.8698760036555803,1.343215495447782,2,16,7
8,1.1531097231421422e-15,0.0006595999984710943,,0.7551158617479807,1.0203430871192496,2,17,0
12,3.9086885101095265e-15,0.0005483000022650231,,0.7587429453793502,1.033864645458143,2,17,1
16,5.898712854536318e-15,0.0007721000001765788,,0.7533105446997365,1.04108161112961,2,17,2
24,1.3596946300898984e-14,0.001234300001669908,,0.7542175499614145,1.048759068948995,2,17,3
32,2.4135766235166034e-14,0.001790000002074521,,0.7532280471156163,1.0527394806063382,2,17,4
40,4.196894523737891e-14,0.0025002000002132263,,0.753033931295211,1.0551721816920046,2,17,5
48,5.864016875197182e-14,0.0038788999991083983,,0.7532102019597201,1.056812235064182,2,17,6
64,1.0292900278017643e-13,0.006139400000392925,,0.7530159508741722,1.058882573939173,2,17,7
